subj1_trial6,subj2_trial6,subj3_trial6,subj4_trial6,subj5_trial6,subj6_trial6,subj7_trial6,subj8_trial6,subj9_trial6,subj10_trial6
-5.63451905268257,-5.34983852898579,16.3864796520776,-25.1701156667022,34.9381814394048,-0.541906222082508,-9.12802439675054,-21.8333190696805,-10.1923653366139,-4.64169060012433
-5.79419118130205,-2.65782584451553,20.2214921162884,-25.120253969769,33.8289893501934,-0.509062068224664,-8.34768190320305,-22.0908433661562,-9.32635366553535,-2.83837181462849
-6.1275270571253,0.436153142559952,23.7644133737656,-24.6814207002206,32.2420875592695,-0.471898272044968,-7.7685311296231,-22.0565966562874,-8.59408204617523,-0.547257744851225
-6.58387837844833,3.87341617716505,26.8640866165304,-23.8403907649921,30.2232043507559,-0.43833710751131,-7.4015598735515,-21.7309124629453,-8.00834082247261,2.21505556501291
-7.10432361559136,7.5749383262308,29.4128207072926,-22.6038527894647,27.8330444001188,-0.410638012074479,-7.24658392347961,-21.1278281189118,-7.58254045291374,5.38722837194175
-7.62712980204236,11.4352106931848,31.360440360745,-20.9981314359981,25.1485105388342,-0.386574767254583,-7.28602945184789,-20.2720166594306,-7.32833305089884,8.86320280038632
-8.08309652358064,15.3317934131972,32.7105467465832,-19.0684182913843,22.2657695071545,-0.365851290141947,-7.49072256296212,-19.1904786236777,-7.24936725197327,12.5009928006983
-8.39186990496381,19.1436824098247,33.4975187943213,-16.8696125931686,19.2976822729167,-0.353638067120557,-7.82754230583275,-17.9135276829443,-7.33573994669639,16.1316625870261
-8.46609666188351,22.7619046003601,33.7591499175855,-14.4636127114868,16.3635562387725,-0.358065193088083,-8.25910338706073,-16.4811100136372,-7.56208999410849,19.5786817359444
-8.21878898620952,26.0907652676537,33.526911231874,-11.9214529253149,13.5776206203976,-0.387368783251171,-8.74321296081191,-14.9477307335287,-7.8918732270468,22.6810779779434
-7.56815499078069,29.0452159885893,32.8356857431047,-9.32307724479539,11.0401124797281,-0.449575055792261,-9.23428738289764,-13.3793717704523,-8.28880290625002,25.3221305260591
-6.4411997215311,31.5558802960673,31.7299260530966,-6.75019841325446,8.83119476994928,-0.551659855172324,-9.69099817930941,-11.8425473948553,-8.72205355261525,27.449202502041
-4.7827314623059,33.568291691047,30.262071108679,-4.28051487889411,7.00428916080794,-0.701951211693303,-10.0884871443289,-10.3971917961023,-9.16074916311753,29.0555896361116
-2.57287881378879,35.041497778947,28.4842270305391,-1.98010476852388,5.57886644965236,-0.913350731109257,-10.4169031251637,-9.09634179030042,-9.56757938857918,30.1480625289207
0.167601993475528,35.9438671652622,26.4466214021464,0.0973200429155674,4.53887566930222,-1.20378613174809,-10.662495243282,-7.98552882597879,-9.89407994516716,30.7383918896822
3.39220962813581,36.2551788282183,24.2005856903699,1.90837754982977,3.83708010118096,-1.59313177764721,-10.7938055861626,-7.0946791206465,-10.0786375710851,30.8485660738186
7.01971741558185,35.9636580118749,21.8054295116744,3.42318390419066,3.39903350774224,-2.10070464720808,-10.761159756511,-6.43182713543442,-10.0476560516891,30.5115183485621
10.8977604656142,35.0695227324306,19.3274711298262,4.62767741335126,3.12603463135221,-2.7463714977954,-10.5051735833946,-5.9832628603744,-9.72471651390274,29.7684428863144
14.814385327967,33.5931179325239,16.8394678807884,5.52404258728932,2.90624200900832,-3.54888588216733,-9.96764338026977,-5.71467733496823,-9.03670336823389,28.6651529991503
18.5620125519802,31.5858751542069,14.417840089423,6.12826494280958,2.63608803086453,-4.52547084605283,-9.09478892511372,-5.57289967157783,-7.92164441603275,27.2472984228511
21.9840065449922,29.1270839580283,12.1353969888426,6.4680139957441,2.24887458452395,-5.68869714060286,-7.84304456553225,-5.49466362088839,-6.33423401552608,25.5596215124567
24.983199016313,26.3132457274168,10.058976413737,6.57795336921971,1.73511528323745,-7.03740039587257,-6.1807678417561,-5.41912456186254,-4.25204021355427,23.6440703237667
27.5047955891418,23.2517832132748,8.25038185605808,6.49546126423886,1.14297985707538,-8.55186085507255,-4.09558771360458,-5.29410265532941,-1.68393511411104,21.5470504777457
29.5208053086414,20.058779065028,6.76152599057216,6.25268729382525,0.547539955577491,-10.1891592941954,-1.59288913285592,-5.07417383888233,1.32650258328779,19.3166789482011
31.0186662732705,16.8582153383748,5.62138080718939,5.87551981521609,0.0137424128417659,-11.8863145583025,1.30676730117716,-4.72426655889974,4.70131512531492,17.0016147705006
31.9957902326269,13.7716173304473,4.82586936874422,5.38968760139871,-0.419579189148341,-13.56913367096,4.56733894998267,-4.22433784721801,8.33389077847561,14.6629735765033
32.45635157166,10.9080925777115,4.33253506298238,4.83035569798761,-0.73353288136026,-15.1724981218652,8.13041369661907,-3.56345585406272,12.09177638106,12.3906493846483
32.4132151309627,8.35402708423797,4.0673535065545,4.24132138659227,-0.927683466597704,-16.6502969744476,11.9048406788213,-2.73378084127334,15.8263785662551,10.2937828639193
31.8869505311112,6.16620309222594,3.93727444355214,3.66791128105063,-1.02260539934129,-17.9755570128665,15.7593086469658,-1.72717621250413,19.3896062634188,8.47332129264564
30.9019899102082,4.3679205991556,3.84464793127712,3.15071430174779,-1.05357929041077,-19.1361494961174,19.5245080976254,-0.537935071704703,22.6582508813912,6.99775799277529
29.4883064692158,2.9540030049142,3.69913393860697,2.72275517025139,-1.05008455926402,-20.1188276864401,23.0195660790909,0.826921112193568,25.5506072586631,5.89084692788013
