Trial,Time_s,Predicted_RY_Moment
1,19.89,-0.577593863010406
1,19.9,-0.579545497894287
1,19.91,-0.582660913467407
1,19.92,-0.58685839176178
1,19.93,-0.591293096542358
1,19.94,-0.595157146453857
1,19.95,-0.597539901733398
1,19.96,-0.59837794303894
1,19.97,-0.599194884300232
1,19.98,-0.600557625293732
1,19.99,-0.602202832698822
1,20,-0.602816462516785
1,20.01,-0.60031658411026
1,20.02,-0.592373490333557
1,20.03,-0.577519714832306
1,20.04,-0.55902498960495
1,20.05,-0.545223772525787
1,20.06,-0.541408896446228
1,20.07,-0.54617714881897
1,20.08,-0.555262386798859
1,20.09,-0.565762341022491
1,20.1,-0.57658177614212
1,20.11,-0.587433815002441
1,20.12,-0.598536431789398
1,20.13,-0.610449969768524
1,20.14,-0.622069478034973
1,20.15,-0.632781803607941
1,20.16,-0.641937971115112
1,20.17,-0.645155489444733
1,20.18,-0.646549880504608
1,20.19,-0.643301725387573
1,20.2,-0.634534001350403
1,20.21,-0.624567151069641
1,20.22,-0.616522490978241
1,20.23,-0.610755383968353
1,20.24,-0.607898890972137
1,20.25,-0.609821140766144
1,20.26,-0.616823196411133
1,20.27,-0.625805556774139
1,20.28,-0.63277131319046
1,20.29,-0.635450422763824
1,20.3,-0.633125305175781
1,20.31,-0.62614369392395
1,20.32,-0.616575717926025
1,20.33,-0.607848703861237
1,20.34,-0.602351605892181
1,20.35,-0.599882364273071
1,20.36,-0.59896445274353
1,20.37,-0.597983539104462
1,20.38,-0.596382617950439
1,20.39,-0.594408333301544
1,20.4,-0.592147588729858
1,20.41,-0.589118242263794
1,20.42,-0.584621667861938
1,20.43,-0.578680634498596
1,20.44,-0.57275915145874
1,20.45,-0.569183468818665
1,20.46,-0.569268345832825
1,20.47,-0.572085916996002
1,20.48,-0.575307250022888
1,20.49,-0.577329158782959
1,20.5,-0.578161358833313
1,20.51,-0.579261660575867
1,20.52,-0.581368923187256
1,20.53,-0.583787679672241
1,20.54,-0.585499942302704
1,20.55,-0.585677087306976
1,20.56,-0.581267297267914
1,20.57,-0.559137523174286
1,20.58,-0.484520196914673
1,20.59,-0.273419290781021
1,20.6,-0.120028607547283
1,20.61,-0.0831855610013008
1,20.62,-0.0695534870028496
1,20.63,-0.0616465918719769
1,20.64,-0.053141213953495
1,20.65,-0.0416628122329712
1,20.66,-0.0298621598631144
1,20.67,-0.0222931336611509
1,20.68,-0.0176782477647066
1,20.69,-0.0139526994898915
1,20.7,-0.0107824737206101
1,20.71,-0.00785505399107933
1,20.72,-0.00532337883487344
1,20.73,-0.00357429590076208
1,20.74,-0.00267679058015347
1,20.75,-0.00249396055005491
1,20.76,-0.0027743331156671
1,20.77,-0.00309692951850593
1,20.78,-0.00318481307476759
