Trial,Time_s,Predicted_LY_Moment
1,3.67,-0.563721656799316
1,3.68,-0.562107682228088
1,3.69,-0.561113119125366
1,3.7,-0.560594856739044
1,3.71,-0.560149013996124
1,3.72,-0.559447646141052
1,3.73,-0.558452129364014
1,3.74,-0.557376682758331
1,3.75,-0.556555032730103
1,3.76,-0.556269526481628
1,3.77,-0.5565505027771
1,3.78,-0.557099878787994
1,3.79,-0.557344257831573
1,3.8,-0.556389033794403
1,3.81,-0.553449690341949
1,3.82,-0.550671279430389
1,3.83,-0.550203084945679
1,3.84,-0.551085531711578
1,3.85,-0.552407205104828
1,3.86,-0.55363529920578
1,3.87,-0.554495990276337
1,3.88,-0.554911315441132
1,3.89,-0.554915904998779
1,3.9,-0.554568409919739
1,3.91,-0.553891897201538
1,3.92,-0.552875280380249
1,3.93,-0.551499426364899
1,3.94,-0.54972916841507
1,3.95,-0.547477662563324
1,3.96,-0.54457014799118
1,3.97,-0.540739417076111
1,3.98,-0.535687386989594
1,3.99,-0.529198467731476
1,4,-0.521326541900635
1,4.01,-0.51257985830307
1,4.02,-0.50376945734024
1,4.03,-0.495723843574524
1,4.04,-0.488811731338501
1,4.05,-0.482272118330002
1,4.06,-0.475478231906891
1,4.07,-0.468735635280609
1,4.08,-0.462842583656311
1,4.09,-0.458622574806213
1,4.1,-0.457214713096619
1,4.11,-0.459708869457245
1,4.12,-0.463193237781525
1,4.13,-0.462959498167038
1,4.14,-0.461530148983002
1,4.15,-0.463909178972244
1,4.16,-0.469871520996094
1,4.17,-0.475230693817139
1,4.18,-0.480329096317291
1,4.19,-0.486562043428421
1,4.2,-0.494701474905014
1,4.21,-0.504108428955078
1,4.22,-0.512129545211792
1,4.23,-0.516573250293732
1,4.24,-0.518287360668182
1,4.25,-0.520132780075073
1,4.26,-0.52388060092926
1,4.27,-0.52947998046875
1,4.28,-0.536089301109314
1,4.29,-0.542070269584656
1,4.3,-0.545400857925415
1,4.31,-0.544602930545807
1,4.32,-0.539066433906555
1,4.33,-0.528703808784485
1,4.34,-0.513717234134674
1,4.35,-0.495557844638824
1,4.36,-0.475930124521255
1,4.37,-0.455713450908661
1,4.38,-0.43525093793869
1,4.39,-0.415600836277008
1,4.4,-0.398181319236755
1,4.41,-0.381872355937958
1,4.42,-0.363687127828598
1,4.43,-0.347490519285202
1,4.44,-0.337031751871109
1,4.45,-0.331199675798416
1,4.46,-0.327845245599747
1,4.47,-0.325547873973846
1,4.48,-0.323468923568726
1,4.49,-0.320481866598129
1,4.5,-0.314798980951309
1,4.51,-0.304167360067368
1,4.52,-0.285796225070953
1,4.53,-0.255620419979095
1,4.54,-0.208937272429466
1,4.55,-0.148575395345688
1,4.56,-0.0943043902516365
1,4.57,-0.0578111931681633
1,4.58,-0.0360087677836418
1,4.59,-0.0232720579952002
1,4.6,-0.0154328402131796
1,4.61,-0.00986269488930702
1,4.62,-0.00528540927916765
1,4.63,-0.00139454111922532
1,4.64,0.00183695112355053
1,4.65,0.0044294879771769
1,4.66,0.00644502323120832
1,4.67,0.00798680260777473
1,4.68,0.00925961788743734
1,4.69,0.0105482758954167
1,4.7,0.0120281362906098
1,4.71,0.0135915484279394
1,4.72,0.0149580053985119
1,4.73,0.0159255564212799
1,4.74,0.0164410192519426
1,4.75,0.0165046378970146
1,4.76,0.0161100663244724
1,4.77,0.0152527634054422
1,4.78,0.0139249283820391
1,4.79,0.0121241351589561
1,4.8,0.00990672037005424
1,4.81,0.00744620384648442
1,4.82,0.00503346184268594
1,4.83,0.00297888927161694
1,4.84,0.00147358200047165
1,4.85,0.000503222632687539
1,4.86,-0.000126337501569651
1,4.87,-0.000665965431835502
1,4.88,-0.00130772916600108
1,4.89,-0.00212894123978913
1,4.9,-0.00305901491083205
1,4.91,-0.00391281628981233
1,4.92,-0.00451394729316235
1,4.93,-0.0047476883046329
1,4.94,-0.00447712885215878
1,4.95,-0.00352601055055857
1,4.96,-0.00187037757132202
1,4.97,0.00022340654686559
1,4.98,0.0023996343370527
1,4.99,0.00443870993331075
1,5,0.0062267454341054
1,5.01,0.00775711797177792
1,5.02,0.00918299797922373
1,5.03,0.0106829665601254
1,5.04,0.0122318873181939
1,5.05,0.0135100409388542
1,5.06,0.0140786524862051
1,5.07,0.0136669194325805
1,5.08,0.0123256677761674
1,5.09,0.0104046761989594
1,5.1,0.00836535636335611
1,5.11,0.00661549204960465
1,5.12,0.00536358309909701
1,5.13,0.00450922735035419
1,5.14,0.00390514940954745
1,5.15,0.00389332720078528
1,5.16,0.00508179096505046
1,5.17,0.00757080549374223
1,5.18,0.0105427289381623
1,5.19,0.0125518161803484
1,5.2,0.0129377543926239
1,5.21,0.0120889460667968
1,5.22,0.0106200072914362
1,5.23,0.00885509513318539
1,5.24,0.0067792353220284
1,5.25,0.00438843946903944
1,5.26,0.00177652249112725
1,5.27,-0.00105186959262937
1,5.28,-0.00406803051009774
1,5.29,-0.00702906772494316
1,5.3,-0.00958079844713211
1,5.31,-0.0114540858194232
1,5.32,-0.0125563275068998
1,5.33,-0.0129526322707534
1,5.34,-0.0127715887501836
1,5.35,-0.0121183842420578
1,5.36,-0.0110767101868987
1,5.37,-0.00973868276923895
1,5.38,-0.00816407240927219
1,5.39,-0.00633665220811963
